temperature,air_density,radiation_surface
11.729,1.226,5.653
11.487,1.228,0
11.382,1.23,0
11.373,1.23,0
11.333,1.231,0
11.244,1.231,0
11.179,1.231,0
11.125,1.23,0
11.105,1.23,0
11.141,1.23,0
11.161,1.229,0
11.169,1.228,0
11.222,1.227,0
11.358,1.226,0
11.887,1.224,0.456
12.175,1.223,17.48
12.473,1.222,50.297
12.803,1.221,95.19
13.159,1.22,173.375
13.412,1.219,214.507
13.383,1.219,201.3
13.186,1.219,153.309
13.127,1.219,160.938
12.807,1.22,64.191
12.502,1.22,4.474
12.572,1.22,0
12.814,1.219,0
13.061,1.219,0
13.201,1.218,0
13.278,1.218,0
13.249,1.218,0
13.102,1.219,0
12.805,1.221,0
12.38,1.223,0
11.941,1.223,0
11.726,1.224,0
11.701,1.224,0
11.573,1.224,0
11.668,1.224,0.612
11.988,1.224,22.844
12.377,1.224,39.854
12.799,1.223,80.392
13.055,1.222,93.268
13.285,1.221,131.74
13.438,1.22,139.488
13.536,1.219,130.029
13.518,1.219,93.347
13.335,1.22,37.722
13.077,1.22,3.244
12.928,1.221,0
12.801,1.222,0
12.592,1.222,0
12.409,1.223,0
12.277,1.223,0
12.3,1.224,0
12.233,1.224,0
12.182,1.225,0
12.279,1.224,0
12.403,1.223,0
12.488,1.222,0
12.556,1.222,0
12.643,1.222,0
12.76,1.222,0.434
12.976,1.221,13.712
13.197,1.221,38.991
13.438,1.22,63.739
13.68,1.219,85.533
13.84,1.218,102.707
14.035,1.217,172.869
14.241,1.216,216.287
14.161,1.216,148.801
13.818,1.218,55.458
13.429,1.219,4.293
13.158,1.22,0
12.979,1.222,0
12.845,1.223,0
12.716,1.224,0
12.551,1.225,0
12.353,1.225,0
12.129,1.226,0
11.944,1.227,0
11.84,1.227,0
11.725,1.227,0
11.649,1.227,0
11.667,1.227,0
11.699,1.227,0
11.77,1.227,0.438
11.914,1.226,10.214
12.179,1.225,31.919
12.526,1.224,59.666
12.905,1.223,79.955
13.185,1.221,67.033
13.432,1.219,68.782
13.651,1.217,60.194
13.748,1.216,35.765
13.799,1.215,22.527
13.782,1.215,2.485
13.75,1.216,0
13.674,1.217,0
13.567,1.218,0
13.488,1.218,0
13.439,1.219,0
13.378,1.219,0
13.319,1.219,0
13.258,1.219,0
13.227,1.219,0
13.181,1.22,0
13.117,1.219,0
13.059,1.22,0
12.938,1.221,0
12.805,1.222,2.113
12.896,1.222,38.473
13.408,1.221,150.082
14.05,1.218,178.381
14.43,1.216,153.48
14.788,1.213,184.68
15.052,1.21,130.498
14.979,1.209,54.298
14.916,1.209,48.283
14.79,1.209,25.927
14.629,1.209,1.908
14.561,1.21,0
14.527,1.211,0
14.482,1.211,0
14.436,1.212,0
14.426,1.212,0
14.442,1.212,0
14.387,1.213,0
14.337,1.213,0
14.233,1.214,0
14.111,1.214,0
14.013,1.215,0
13.923,1.215,0
13.861,1.216,0
13.82,1.217,2.727
14.03,1.218,57.8
14.456,1.217,130.461
14.858,1.216,141.376
15.105,1.215,141.354
15.519,1.213,243.251
15.92,1.211,293.34
15.929,1.211,238.503
15.654,1.212,135.514
15.234,1.213,39.267
14.927,1.214,5.197
14.765,1.216,0
14.697,1.217,0
14.64,1.218,0
14.552,1.219,0
14.375,1.219,0
14.275,1.22,0
14.142,1.22,0
13.981,1.221,0
13.818,1.222,0
13.65,1.223,0
13.482,1.223,0
13.241,1.224,0
13.087,1.225,0
13.003,1.226,4.321
13.258,1.227,76.922
13.911,1.226,198.255
14.781,1.223,303.69
15.801,1.219,435.019
16.501,1.215,440.051
16.559,1.212,284.266
16.701,1.211,292.426
16.804,1.21,248.704
16.092,1.209,103.186
14.633,1.21,11.329
14.036,1.212,0
13.73,1.214,0
13.507,1.216,0
13.485,1.218,0
13.346,1.22,0
13.012,1.222,0
12.718,1.224,0
12.435,1.225,0
12.233,1.227,0
12.049,1.228,0
11.945,1.23,0
11.749,1.232,0
11.363,1.235,0
10.984,1.237,7.168
11.447,1.238,122.034
13.041,1.233,288.581
15.177,1.224,425.385
16.728,1.216,514.786
17.434,1.211,548.554
17.764,1.209,523.366
17.878,1.207,442.023
17.669,1.206,312.79
16.811,1.207,151.848
14.916,1.208,16.741
14.052,1.21,0
13.573,1.213,0
13.221,1.216,0
12.903,1.219,0
12.497,1.223,0
12.037,1.225,0
11.611,1.228,0
11.172,1.23,0
10.748,1.232,0
10.395,1.233,0
10.084,1.235,0
9.916,1.236,0
9.745,1.238,0
9.593,1.239,7.012
10.649,1.241,104.492
12.064,1.241,249.902
13.624,1.235,385.525
14.843,1.231,479.933
15.581,1.227,519.525
16.021,1.223,503.512
16.009,1.221,420.69
15.669,1.221,296.75
14.703,1.222,145.204
12.702,1.223,16.317
11.962,1.225,0
11.836,1.226,0
11.64,1.228,0
11.513,1.229,0
11.404,1.23,0
11.195,1.233,0
11.129,1.235,0
10.936,1.238,0
10.622,1.24,0
10.251,1.242,0
9.802,1.244,0
9.338,1.247,0
8.905,1.249,0
8.538,1.251,8.755
8.899,1.25,126.716
10.197,1.245,290.082
11.979,1.237,428.178
13.721,1.228,520.089
14.937,1.221,556.649
15.685,1.215,531.073
16.026,1.211,447.135
15.82,1.209,314.71
14.83,1.21,154.474
12.942,1.214,18.922
12.035,1.219,0
11.559,1.224,0
11.122,1.228,0
10.635,1.232,0
10.119,1.235,0
9.65,1.237,0
9.337,1.238,0
9.294,1.238,0
9.454,1.237,0
9.553,1.235,0
9.647,1.233,0
9.732,1.23,0
9.888,1.231,0
9.987,1.232,7.941
10.671,1.233,124.713
12.003,1.229,287.998
13.837,1.222,419.017
15.075,1.216,512.813
15.733,1.212,552.529
16.098,1.209,519.475
16.148,1.208,440.977
15.71,1.208,296.908
14.607,1.212,135.303
12.855,1.215,16.251
12.449,1.219,0
12.592,1.22,0
12.427,1.222,0
12.016,1.222,0
11.499,1.223,0
10.891,1.223,0
10.441,1.224,0
10.266,1.225,0
10.288,1.225,0
10.238,1.226,0
10.128,1.227,0
10.106,1.228,0
10.074,1.229,0
10.226,1.231,7.586
11.088,1.232,99.89
12.186,1.229,257.072
13.576,1.224,404.917
14.704,1.22,490.309
15.063,1.218,428.555
14.693,1.218,283.074
14.472,1.218,274.084
14.41,1.217,252.444
13.951,1.218,118.739
12.59,1.22,15.172
11.961,1.222,0
11.936,1.222,0
11.969,1.223,0
12.088,1.223,0
12.282,1.224,0
12.166,1.224,0
12.132,1.224,0
12.177,1.226,0
11.618,1.227,0
10.993,1.228,0
10.669,1.229,0
10.716,1.23,0
10.757,1.23,0
10.889,1.231,6.487
11.355,1.233,76.15
11.732,1.234,112.679
12.137,1.234,242.941
14.046,1.229,488.245
14.571,1.224,551.35
14.616,1.224,530.391
14.24,1.225,360.204
13.359,1.227,167.24
12.323,1.23,69.567
11.131,1.233,13.085
10.497,1.234,0
10.315,1.236,0
10.476,1.237,0
10.419,1.238,0
10.25,1.238,0
10.038,1.238,0
9.679,1.237,0
9.335,1.238,0
9.538,1.238,0
9.878,1.238,0
10.242,1.238,0
10.655,1.238,0
10.757,1.239,0
10.849,1.239,8.036
11.36,1.239,70.862
12.023,1.237,163.345
12.766,1.235,225.923
13.32,1.232,242.903
13.666,1.23,231.743
13.799,1.228,189.68
13.678,1.228,112.898
13.581,1.228,104.214
13.492,1.228,65.995
13.297,1.229,10.844
13.17,1.23,0
13.169,1.231,0
13.16,1.231,0
13.166,1.232,0
13.176,1.232,0
13.175,1.231,0
13.072,1.231,0
12.964,1.231,0
12.824,1.231,0
12.538,1.231,0
12.365,1.231,0
12.308,1.231,0
12.158,1.232,0
12.17,1.232,12.205
13.261,1.232,116.892
13.884,1.232,213.425
14.318,1.231,298.288
14.75,1.23,336.616
14.93,1.229,305.424
14.647,1.228,165.663
14.363,1.229,108.624
14.128,1.229,73.895
13.899,1.229,38.376
13.567,1.23,6.727
13.18,1.23,0
12.94,1.231,0
12.842,1.232,0
12.772,1.232,0
12.573,1.232,0
12.379,1.232,0
12.238,1.232,0
12.035,1.233,0
11.867,1.233,0
11.767,1.234,0
11.605,1.234,0
11.464,1.234,0
11.436,1.235,0
11.408,1.235,8.586
11.916,1.235,68.504
12.726,1.234,148.987
13.556,1.232,202.882
13.884,1.229,206.976
14.194,1.227,208.518
14.494,1.224,220.086
14.852,1.222,238.704
14.958,1.221,218.874
14.391,1.221,121.413
13.051,1.223,17.827
12.394,1.226,0
12.141,1.228,0
11.919,1.229,0
11.693,1.229,0
11.693,1.229,0
11.793,1.229,0
11.806,1.229,0
11.639,1.229,0
11.425,1.229,0
11.365,1.229,0
11.295,1.229,0
11.14,1.229,0
10.926,1.229,0
10.807,1.229,7.313
11.599,1.23,67.354
12.321,1.23,141.004
13.193,1.227,168.262
13.587,1.225,163.547
13.844,1.223,195.461
14.104,1.221,228.192
14.199,1.22,221.846
14.134,1.219,190.168
13.7,1.22,101.913
12.548,1.222,14.372
11.914,1.224,0
11.662,1.226,0
11.379,1.226,0
11.256,1.227,0
11.27,1.227,0
11.276,1.227,0
11.208,1.226,0
11.345,1.226,0
11.579,1.226,0
11.799,1.226,0
11.955,1.226,0
11.997,1.226,0
12.081,1.226,0
12.055,1.226,7.796
12.502,1.226,70.563
13.051,1.225,175.725
13.69,1.223,264.451
14.153,1.222,321.988
14.544,1.222,426.08
14.49,1.222,380.23
14.326,1.222,324.723
14.12,1.222,236.243
13.797,1.223,142.996
12.749,1.224,27.948
12.125,1.226,0
12.084,1.227,0
12.133,1.228,0
11.964,1.228,0
11.41,1.228,0
10.795,1.229,0
10.5,1.23,0
10.391,1.231,0
10.314,1.232,0
10.132,1.233,0
9.896,1.235,0
9.701,1.236,0
9.508,1.237,0
9.564,1.238,19.789
10.669,1.239,157.004
11.607,1.237,317.709
13.195,1.231,453.178
14.963,1.224,552.69
15.793,1.221,597.685
15.879,1.219,559.588
15.585,1.218,456.914
14.993,1.219,277.69
14.2,1.222,127.453
12.897,1.224,25.23
12.181,1.226,0
12.435,1.226,0
12.435,1.227,0
12.279,1.227,0
12.039,1.227,0
11.7,1.227,0
11.012,1.228,0
10.04,1.228,0
9.823,1.229,0
9.612,1.23,0
9.415,1.232,0
9.29,1.234,0
9.284,1.236,0
10.018,1.237,20.848
10.699,1.237,156.833
12.175,1.233,324.002
13.861,1.226,451.932
14.733,1.223,504.611
14.926,1.22,401.45
14.67,1.219,217.752
14.437,1.221,177.547
14.291,1.221,172.202
14.061,1.222,117.81
13.387,1.222,30.932
12.576,1.224,0
12.575,1.226,0
12.381,1.227,0
12.239,1.228,0
12.208,1.229,0
12.133,1.229,0
12.065,1.229,0
11.94,1.23,0
11.812,1.23,0
11.724,1.23,0
11.728,1.23,0
11.768,1.23,0
11.793,1.23,0
11.864,1.231,19.547
12.649,1.228,138.632
13.754,1.225,269.237
14.574,1.221,342.183
15.167,1.218,396.786
15.508,1.216,427.049
15.585,1.214,375.814
15.279,1.214,215.015
14.869,1.215,102.886
14.53,1.217,38.24
14.273,1.217,7.649
14.152,1.218,0
14.131,1.218,0
14.129,1.219,0
14.179,1.219,0
14.216,1.219,0
14.198,1.219,0
14.08,1.219,0
13.841,1.221,0
13.481,1.224,0
12.973,1.227,0
12.486,1.229,0
12.214,1.231,0
12.02,1.232,0
11.891,1.233,12.172
12.222,1.236,151.75
12.643,1.237,264.021
13.092,1.237,387.654
13.359,1.238,482.705
13.504,1.238,525.575
13.534,1.237,524.546
13.418,1.237,475.82
13.122,1.238,373.789
12.513,1.239,209.724
11.396,1.242,44.909
10.407,1.246,0
9.933,1.249,0
9.493,1.252,0
8.968,1.254,0
8.384,1.256,0
7.969,1.257,0
7.76,1.259,0
7.504,1.261,0
7.158,1.263,0
7.149,1.265,0
6.902,1.266,0
6.306,1.267,0
5.964,1.268,0
6.143,1.27,26.693
7.446,1.268,182.279
9.283,1.261,364.226
11.021,1.254,501.404
12.136,1.249,598.205
12.9,1.245,637.092
13.33,1.241,610.543
13.431,1.239,525.112
13.185,1.239,389.824
12.511,1.24,219.043
11.122,1.243,49.585
10.1,1.248,0
9.56,1.251,0
9.031,1.254,0
8.655,1.255,0
8.075,1.256,0
7.52,1.257,0
7.132,1.259,0
6.71,1.261,0
6.299,1.264,0
5.98,1.265,0
5.774,1.267,0
5.574,1.268,0
5.404,1.269,0
5.66,1.269,32.806
7.283,1.266,200.085
9.391,1.258,378.648
11.329,1.249,521.57
13.07,1.241,611.805
14.327,1.235,637.113
15.106,1.23,594.819
15.493,1.226,492.635
15.436,1.224,353.782
15.13,1.224,205.453
13.831,1.226,50.968
12.8,1.228,0
12.042,1.23,0
11.392,1.232,0
10.971,1.233,0
10.588,1.235,0
10.094,1.236,0
9.485,1.237,0
9.012,1.238,0
8.92,1.239,0
9.077,1.24,0
9.293,1.24,0
9.345,1.24,0
9.242,1.24,0
9.179,1.24,33.761
9.917,1.24,192.31
11.363,1.238,363.727
12.52,1.235,507.424
13.456,1.232,601.333
14.185,1.228,640.807
14.723,1.225,619.164
15.026,1.221,537.033
15.065,1.219,402.217
14.414,1.219,230.72
12.314,1.222,56.182
10.805,1.225,0
10.401,1.228,0
10.091,1.229,0
9.858,1.231,0
9.656,1.234,0
9.478,1.237,0
9.355,1.24,0
9.064,1.243,0
8.665,1.247,0
8.369,1.249,0
8.254,1.249,0
8.165,1.25,0
7.974,1.252,0
7.851,1.254,37.225
8.969,1.251,203.733
11.089,1.243,380.817
13.555,1.232,525.572
15.445,1.223,620.508
16.976,1.216,657.355
17.939,1.212,631.728
18.213,1.21,546.839
18.343,1.209,410.021
18.372,1.209,236.544
16.743,1.211,59.798
14.176,1.216,0
12.453,1.22,0
11.726,1.222,0
11.392,1.223,0
11.126,1.224,0
10.741,1.225,0
10.537,1.227,0
10.413,1.231,0
9.952,1.236,0
9.352,1.24,0
8.862,1.244,0
8.356,1.247,0
7.92,1.249,0
8.153,1.25,39.929
10.169,1.25,207.995
12.019,1.245,386.062
14.494,1.235,531.283
16.661,1.225,626.06
18.231,1.218,661.827
18.664,1.214,635.581
18.65,1.212,550.387
18.934,1.211,414.096
19.443,1.209,241.327
17.406,1.211,63.636
14.601,1.217,0
12.751,1.223,0
11.873,1.226,0
11.435,1.228,0
11.118,1.229,0
10.737,1.23,0
10.409,1.232,0
10.165,1.234,0
10.024,1.237,0
9.8,1.241,0
9.258,1.245,0
8.884,1.249,0
8.496,1.253,0
